EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230405171633	18.15	0.97	-39.44	16.77	17.33	1	1	1	1
20230405171634	18.12	0.89	-40.29	16.77	17.33	1	1	1	1
20230405171635	18.13	0.99	-39.25	16.77	17.36	1	1	1	1
20230405171636	18.13	0.99	-39.25	16.77	17.36	1	1	1	1
20230405171637	18.15	0.95	-39.64	16.77	17.36	1	1	1	1
20230405171638	18.13	0.97	-39.45	16.77	17.39	1	1	1	1
20230405171639	18.13	0.95	-39.65	16.77	17.39	1	1	1	1
20230405171640	18.15	0.99	-39.24	16.77	17.36	1	1	1	1
20230405171641	18.15	0.93	-39.84	16.8	17.36	1	1	1	1
20230405171642	18.13	0.97	-39.45	16.8	17.39	1	1	1	1
20230405171644	18.15	0.91	-40.05	16.8	17.39	1	1	1	1
20230405171645	18.15	0.86	-40.6	16.8	17.39	1	1	1	1
20230405171646	18.15	0.97	-39.44	16.8	17.39	1	1	1	1
20230405171647	18.15	0.95	-39.64	16.8	17.39	1	1	1	1
20230405171648	18.17	0.93	-39.83	16.82	17.39	1	1	1	1
20230405171649	18.15	0.99	-39.24	16.8	17.42	1	1	1	1
20230405171650	18.15	0.89	-40.27	16.8	17.39	1	1	1	1
20230405171651	18.13	0.99	-39.25	16.8	17.39	1	1	1	1
20230405171652	18.16	0.99	-39.23	16.77	17.39	1	1	1	1
20230405171653	18.16	0.95	-39.63	16.59	17.36	1	1	1	1
20230405171655	18.16	0.93	-39.84	16.43	17.33	1	1	1	1
20230405171656	18.17	0.95	-39.63	16.22	17.27	1	1	1	1
20230405171657	18.16	0.92	-39.94	16.06	17.18	1	1	1	1
20230405171658	18.17	0.97	-39.43	15.88	17.09	1	1	1	1
20230405171659	18.17	0.93	-39.83	15.69	16.97	1	1	1	1
20230405171700	18.15	0.97	-39.44	15.49	16.87	1	1	1	1
20230405171701	18.13	0.95	-39.65	15.33	16.75	1	1	1	1
20230405171702	18.15	0.95	-39.64	15.15	16.63	1	1	1	1
20230405171703	18.17	0.95	-39.63	14.97	16.51	1	1	1	1
20230405171704	18.13	0.95	-39.65	14.78	16.39	1	1	1	1
20230405171706	18.13	0.97	-39.45	14.6	16.27	1	1	1	1
20230405171707	18.1	0.97	-39.47	14.45	16.15	1	1	1	1
20230405171708	18.1	0.88	-40.41	14.27	16.06	1	1	1	1
20230405171709	18.09	0.99	-39.28	14.14	15.94	1	1	1	1
20230405171710	18.09	0.95	-39.68	13.96	15.79	1	1	1	1
20230405171711	18.09	0.97	-39.47	13.81	15.7	1	1	1	1
20230405171712	18.08	0.97	-39.48	13.65	15.58	1	1	1	1
20230405171713	18.08	1.03	-38.9	13.52	15.49	1	1	1	1
20230405171714	18.05	0.99	-39.3	13.4	15.37	1	1	1	1
20230405171715	18.02	0.93	-39.92	13.24	15.28	1	1	1	1
20230405171717	18.02	0.95	-39.72	13.12	15.2	1	1	1	1
20230405171718	18.0	0.95	-39.73	12.96	15.05	1	1	1	1
20230405171719	17.99	0.95	-39.74	12.86	15.02	1	1	1	1
20230405171720	17.99	0.97	-39.53	12.73	14.93	1	1	1	1
20230405171721	17.95	0.96	-39.66	12.61	14.84	1	1	1	1
20230405171722	17.93	0.91	-40.19	12.48	14.72	1	1	1	1
20230405171723	17.95	0.94	-39.86	12.35	14.63	1	1	1	1
20230405171724	17.95	0.94	-39.86	12.25	14.57	1	1	1	1
20230405171725	17.92	0.98	-39.48	12.15	14.45	1	1	1	1
